City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center _km_,Metro Distance _km_,Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
Amsterdam,233.6372,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,6,20,1,8.145,0.6884,57.8932,3.0655,74.2262,5.1722
Amsterdam,233.6372,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,6,20,1,8.145,0.6884,57.8932,3.0652,74.2263,6.4707
Athens,69.599,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,2,20,1,4.157,0.6596,41.0263,1.5469,60.8081,4.5658
Athens,69.599,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,2,20,1,4.157,0.6596,41.0263,1.5458,60.8081,0.9081
Athens,63.7405,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,2,20,1,4.5603,0.8417,37.2715,1.4043,56.1602,0.8387
Barcelona,451.5093,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,2,20,1,1.5998,0.4904,360.4633,12.2852,1004.1161,22.1037
Barcelona,159.6574,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,2,20,0,3.2365,1.3928,223.3704,7.6128,482.5115,10.6216
Barcelona,601.159,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,2,20,1,1.4891,0.1803,358.9092,13.8579,876.038,19.2436
Barcelona,451.5093,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,2,20,1,1.5998,0.4904,360.4658,13.918,1004.133,22.0574
Barcelona,159.6574,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,2,20,0,3.2365,1.3928,223.3696,8.6246,482.5084,10.5991
Berlin,487.0524,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,20,1,1.1254,0.357,337.1876,51.4109,410.8064,84.7055
Budapest,208.911,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,2,20,1,5.1749,2.1212,65.3402,3.8965,98.3595,7.4481
Budapest,104.573,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,2,20,1,2.0722,0.5461,132.6803,7.9123,259.7322,19.6677
Budapest,347.7934,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,2,20,0,2.8352,0.2493,121.4011,7.2397,178.5675,13.5217
Budapest,104.573,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,2,20,1,2.0722,0.5461,132.6805,7.9189,259.733,22.7053
Budapest,208.676,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,2,20,1,5.1749,2.1212,65.34,3.8998,98.3593,8.5984
