City,Price,Day,Room Type,Shared Room,Private Room,Person Capacity,Superhost,Multiple Rooms,Business,Cleanliness Rating,Guest Satisfaction,Bedrooms,City Center _km_,Metro Distance _km_,Attraction Index,Normalised Attraction Index,Restraunt Index,Normalised Restraunt Index
Barcelona,601.159,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,2,20,1,1.4891,0.1803,358.9092,13.8579,876.038,19.2436
Amsterdam,528.4372,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,4,47,1,3.8097,0.4177,122.9404,6.5098,152.9705,10.6592
Amsterdam,624.5167,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,4,47,1,3.8097,0.4177,122.9408,6.5092,152.9711,13.3354
Paris,658.2627,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,10,60,1,4.2019,0.1944,460.4498,22.4145,882.8451,51.8756
Paris,601.4074,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,60,0,4.9331,0.3573,379.5787,18.4778,731.2188,42.9661
Paris,591.1548,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,10,60,1,4.2019,0.1944,460.4498,22.3894,882.8449,40.7277
Paris,625.1748,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,60,0,4.9331,0.3573,379.5789,18.4571,731.2143,33.7326
Paris,1170.1929,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,6,73,1,1.7141,0.07,671.3316,32.6802,1373.562,80.7099
Paris,1170.1929,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,6,73,1,1.7141,0.07,671.3428,32.6441,1373.5606,63.3656
Paris,598.1452,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,75,1,1.2026,0.1569,720.4513,35.0713,1552.1753,91.2051
Paris,614.2231,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,75,1,1.2025,0.157,720.452,35.032,1552.1418,71.6039
Berlin,738.5248,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,8,76,1,5.8459,0.3009,129.0921,19.6763,237.3818,50.2228
Amsterdam,614.44,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,8,78,1,3.6811,0.6261,128.8533,6.8229,160.7574,11.2018
Amsterdam,614.44,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,8,78,1,3.6811,0.6261,128.8526,6.8222,160.7563,14.0141
Paris,706.9624,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,7,79,1,3.4901,0.1458,212.0375,10.3219,524.7559,30.8344
Paris,707.4285,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,7,79,1,3.49,0.1458,212.0378,10.3104,524.7592,24.2084
Amsterdam,663.6515,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,80,1,3.6036,0.5668,142.2965,7.5347,180.8728,12.6035
Amsterdam,737.2343,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,80,1,2.4459,0.6268,226.5677,11.9969,292.1291,20.356
Amsterdam,640.4518,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,6,80,1,1.909,0.2937,495.3863,26.231,578.0721,40.2809
Amsterdam,602.02,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,7,80,1,3.673,0.6953,140.3293,7.4305,177.5062,12.3689
Amsterdam,663.6515,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,80,1,3.6036,0.5668,142.2963,7.5339,180.8725,15.7677
Amsterdam,737.2343,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,80,1,2.4459,0.6269,226.5676,11.9957,292.1313,25.4668
Amsterdam,743.7958,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,8,80,1,0.1695,0.3308,655.6646,34.7144,770.6646,67.1835
Amsterdam,640.4518,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,6,80,1,1.909,0.2937,495.3723,26.2277,577.9086,50.3798
Amsterdam,676.0715,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,7,80,1,3.673,0.6953,140.3294,7.4298,177.5065,15.4743
Barcelona,844.8344,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,8,80,1,3.3157,0.1762,333.4928,11.366,439.5618,9.6761
Barcelona,571.6015,Weekend,Private room,FALSE,TRUE,2,TRUE,0,1,6,80,1,0.8317,0.5395,529.4312,20.4419,1029.2649,22.6095
Barcelona,960.5046,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,8,80,1,3.3157,0.1762,333.4886,12.8764,439.5648,9.6558
Berlin,1159.4372,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,10,80,1,2.9289,0.4953,99.9324,15.2367,150.769,31.0875
Berlin,1159.4372,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,10,80,1,2.929,0.4953,99.9321,15.2317,150.7708,31.8985
Paris,577.8731,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,80,0,1.8041,0.4033,1122.7602,54.6556,1090.4392,64.0737
Paris,716.283,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,80,1,0.8795,0.0797,507.7125,24.7153,1223.5684,71.8963
Paris,669.9133,Weekday,Private room,FALSE,TRUE,2,FALSE,1,0,6,80,1,3.8138,0.3741,534.989,26.0431,1051.9102,61.8098
Paris,654.7675,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,80,1,5.0305,0.2206,385.2383,18.7533,652.8079,38.3587
Paris,596.5141,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,10,80,0,1.8042,0.4033,1122.7854,54.5955,1090.4343,50.3043
Paris,715.8169,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,80,1,0.8795,0.0797,507.7117,24.6875,1223.568,56.446
Paris,570.6496,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,10,80,1,2.4102,0.2355,254.7822,12.3888,607.9542,28.0463
Paris,529.6393,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,8,80,1,1.1899,0.1593,707.6439,34.4092,1564.6439,72.1807
Paris,647.7771,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,6,80,1,3.8138,0.3741,535.0025,26.0145,1051.8975,48.5265
Paris,643.8158,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,80,1,5.0305,0.2206,385.2432,18.7325,652.8123,30.1158
Rome,1152.5963,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,80,1,2.1056,0.3911,654.0481,14.4938,1539.7451,33.5246
Rome,1152.5963,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,9,80,1,2.1056,0.3911,654.0486,14.4907,1539.7476,33.5474
Amsterdam,1259.5787,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,81,1,1.8439,0.3507,553.4858,29.3074,549.0127,38.256
Amsterdam,1259.813,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,81,1,1.8439,0.3507,553.4499,29.3026,549.0084,47.8604
Paris,625.8738,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,82,1,4.0387,0.3542,321.5554,15.6532,625.9727,36.7819
Paris,626.3398,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,8,82,1,4.0387,0.3542,321.5546,15.6356,625.9719,28.8775
Paris,881.0234,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,83,1,1.2439,0.1073,665.4253,32.3927,1351.0359,79.3862
Barcelona,6943.701,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,84,1,4.5076,0.4053,218.2719,7.4391,315.4603,6.9443
Barcelona,6942.77,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,84,1,4.5076,0.4053,218.2698,8.4276,315.4599,6.9296
Amsterdam,663.6515,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,1,0,8,85,1,0.5314,0.1474,538.2657,28.4987,637.5832,55.5819
Paris,529.6393,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,85,1,3.3452,0.0794,398.6646,19.3851,1020.3865,47.0728
Paris,555.9698,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,86,0,1.5011,0.1198,446.3018,21.7258,1142.4202,67.1281
Barcelona,6943.701,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,87,1,4.5758,0.4184,207.6695,7.0777,309.3974,6.8108
Barcelona,537.3892,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,10,87,1,0.7275,0.3545,506.8029,19.5682,1377.1703,30.2518
Barcelona,648.1719,Weekend,Private room,FALSE,TRUE,2,FALSE,1,0,10,87,1,0.4678,0.1327,646.4666,24.9608,1255.4776,27.5786
Barcelona,6942.77,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,87,1,4.5758,0.4184,207.6705,8.0184,309.3977,6.7964
Paris,868.9067,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,10,87,1,2.1149,0.2333,623.4657,30.3501,1230.0948,72.2798
Paris,811.3524,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,87,1,3.378,0.0761,523.5209,25.4848,1026.9184,60.3412
Paris,868.9067,Weekend,Private room,FALSE,TRUE,2,FALSE,0,1,10,87,1,2.1149,0.2333,623.4652,30.316,1230.0861,56.7467
Vienna,13664.3059,Weekday,Private room,FALSE,TRUE,2,FALSE,0,0,9,87,1,2.2395,0.4144,128.3491,9.1918,201.545,4.8181
Vienna,13656.3588,Weekend,Private room,FALSE,TRUE,2,FALSE,0,0,9,87,1,2.2395,0.4144,128.3498,9.1916,201.5465,4.8713
Paris,881.0234,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,88,1,1.2535,0.1343,672.5199,32.738,1371.6849,80.5996
Paris,686.2243,Weekday,Private room,FALSE,TRUE,2,TRUE,1,0,10,88,1,1.3646,0.4342,646.1595,31.4548,1091.9971,64.1652
Amsterdam,572.7275,Weekend,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,9,89,1,1.1263,1.1211,386.3708,20.4566,462.8113,40.346
Paris,533.3675,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,1,10,89,0,4.922,0.1429,446.4472,21.7329,605.3611,35.5707
Amsterdam,1038.3615,Weekday,Entire home/apt,FALSE,FALSE,2,FALSE,0,0,9,90,1,1.7619,1.684,277.347,14.6857,359.0122,25.0165
Amsterdam,762.0744,Weekday,Private room,FALSE,TRUE,2,TRUE,0,0,10,90,1,0.757,0.9214,484.3225,25.6452,605.4598,42.1893
Amsterdam,645.373,Weekday,Private room,FALSE,TRUE,2,FALSE,0,1,10,90,1,0.8997,0.8019,440.9191,23.347,620.6937,43.2508
